Полное наименование лицензиата;Сокращенное наименование;Организационно-правовая форма;Адрес места нахождения;ОГРН;ИНН;Номер телефона;Адрес электронной почты;Регион
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ПРОСВЕТИТЕЛЬСКИЙ ЦЕНТР ""ЛОГОС""";"АНО ""ПЦ ""ЛОГОС""";Автономные некоммерческие организации;603000, НИЖЕГОРОДСКАЯ ОБЛАСТЬ, Г. НИЖНИЙ НОВГОРОД, УЛ. БОЛЬШАЯ ПОКРОВСКАЯ, Д. 30;1185275069561;5260460231;(831) 246-73-95;radio.obraz@gmail.com;нижегородская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РАДИО ВЕРА КАЗАНЬ""";"АНО ""РАДИО ВЕРА КАЗАНЬ""";Автономные некоммерческие организации;420111, РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН), Г. КАЗАНЬ, УЛ. КАРЛА МАРКСА, Д. 9/15, ПОМЕЩ. 1;1181690020214;1655399733;8 (843) 205-60-31;dalikin_kzn@mail.ru;республика татарстан (татарстан)
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ БОЛЬШЕГЛУШИЦКОЙ ТЕЛЕКОМПАНИИ ""ПУЛЬС""";"АНО РЕДАКЦИЯ ТК ""ПУЛЬС""";Автономные некоммерческие организации;446180, САМАРСКАЯ ОБЛАСТЬ, БОЛЬШЕГЛУШИЦКИЙ Р-Н, С. БОЛЬШАЯ ГЛУШИЦА, УЛ. ГАГАРИНА, Д.63;1126300006359;6375997049;+7 927 741-77-00;melnikova063@mail.ru;самарская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""РЕДАКЦИЯ ГАЗЕТЫ ""АВАНГАРД""";"""РЕДАКЦИЯ ГАЗЕТЫ ""АВАНГАРД""";Автономные некоммерческие организации;172610, ТВЕРСКАЯ ОБЛАСТЬ, Г. ЗАПАДНАЯ ДВИНА, УЛ. КИРОВА, Д.10, -, -;1026901783391;6922003665;8 (48265) 2-16-00;viv.1968@bk.ru;тверская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТВ-НОВОСТИ""";"АНО ""ТВ-НОВОСТИ""";Автономные некоммерческие организации;111020, Г.МОСКВА, УЛ. БОРОВАЯ, Д.3, К.1;1057746595367;7704552473;+7 499 75-000-75;info@rttv.ru;г.москва
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТЕЛЕРАДИОКОМПАНИЯ ""СЕВЕР""";"АНО ""ТРК ""СЕВЕР""";Автономные некоммерческие организации;184144, МУРМАНСКАЯ ОБЛАСТЬ, КОВДОРСКИЙ Р-Н, Г. КОВДОР, УЛ. СУХАЧЕВА, Д. 27, КВ. 205;1185190002876;5104004739;+7 (963) 358-02-64;tv.kast@yandex.ru;мурманская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПОДДЕРЖКИ СОЦИАЛЬНЫХ ИНИЦИАТИВ ""ОТКРЫТЫЙ РЕГИОН""";"АНО""ЦПСИ ""ОТКРЫТЫЙ РЕГИОН""";Автономные некоммерческие организации;680000, ХАБАРОВСКИЙ КРАЙ, Г. ХАБАРОВСК, УЛ. ДЗЕРЖИНСКОГО, Д. 36;1132700002038;2722999113;+7 962 220-35-33;rmv@todaykhv.ru;хабаровский край
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИЗДАТЕЛЬСКИЙ ДОМ ""МЕДИАЦЕНТР 60""";"АНО ИД ""МЕДИАЦЕНТР 60""";Автономные некоммерческие организации;180000, ПСКОВСКАЯ ОБЛАСТЬ, городской округ ГОРОД ПСКОВ, Г ПСКОВ, УЛ ЛЕНИНА, Д. 6А;1206000001778;6027201604;+8 (811) 250-01-39;am@media-60.ru;псковская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННЫЙ ЦЕНТР РАДИОВЕЩАНИЯ ""ЗОДЧИЙ"" РЕЛИГИОЗНОЙ ОРГАНИЗАЦИИ ""ТИХОРЕЦКАЯ ЕПАРХИЯ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ)""";"АНО ИЦР ""ЗОДЧИЙ""";Автономные некоммерческие организации;352120, КРАСНОДАРСКИЙ КРАЙ, ТИХОРЕЦКИЙ Р-Н, Г. ТИХОРЕЦК, УЛ. ЛЯПИДЕВСКОГО, Д. 2;1142300003009;2360980415;+7 (918) 533-23-04;radioveratih@gmail.com;краснодарский край
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННЫЙ ЦЕНТР РАДИОВЕЩАНИЯ ИСКУССТВА И КУЛЬТУРЫ ""РАДИО ВЕРА ВЕРХНЕВОЛЖЬЕ""";"АНО РАДИОКАНАЛ ""РАДИО ВЕРА ВЕРХНЕВОЛЖЬЕ""";Автономные некоммерческие организации;170100, ТВЕРСКАЯ ОБЛАСТЬ, Г. ТВЕРЬ, УЛ. СОВЕТСКАЯ, Д. 12;1166952064399;6950194718;+7 905 600-68-31;radioveravolga@radiovera.ru;тверская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННЫЙ ЦЕНТР РАДИОВЕЩАНИЯ, ИСКУССТВА И КУЛЬТУРЫ ""РАДИО ВЕРА УВАРОВО""";"АНО РАДИОКАНАЛ ""РАДИО ВЕРА УВАРОВО""";Автономные некоммерческие организации;393460, ТАМБОВСКАЯ ОБЛАСТЬ, Г. УВАРОВО, ПЕР. ПЕРВОМАЙСКИЙ, Д. 17;1196820000409;6830007772;89108501948;radiovera.uvarovo@yandex.ru;тамбовская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ РЕДАКЦИЯ СРЕДСТВА МАССОВОЙ ИНФОРМАЦИИ РАДИО ""ПОСАД""";"РЕДАКЦИЯ РАДИО ""ПОСАД""";Автономные некоммерческие организации;141307, МОСКОВСКАЯ ОБЛАСТЬ, СЕРГИЕВ ПОСАД Г, УЛ ФЕСТИВАЛЬНАЯ, Д. 10А;1035008358989;5042072327;+7 926 575-81-06;posadfm@mail.ru;московская область
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ НРАВСТВЕННО-ЭТИЧЕСКОМУ РАЗВИТИЮ ОБЩЕСТВА И ПОДГОТОВКЕ К ПРЕОДОЛЕНИЮ ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ ""ИНСТИТУТ РАЗВИТИЯ ОБЩЕСТВА""";"АНО ""ИНСТИТУТ РАЗВИТИЯ ОБЩЕСТВА""";Автономные некоммерческие организации;664011, ИРКУТСКАЯ ОБЛАСТЬ, городской округ ГОРОД ИРКУТСК, Г ИРКУТСК, УЛ ГОРЬКОГО, Д. 27;1203800012921;3827063411;8(902)51-09-567;f-pfa@yandex.ru;иркутская область
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ТЕЛЕРАДИОКОМПАНИЯ "" ОСИННИКИ""";"АУ ТРК ""ОСИННИКИ""";Муниципальные автономные учреждения;652811, КЕМЕРОВСКАЯ ОБЛАСТЬ - КУЗБАСС, Г. ОСИННИКИ, УЛ. РЕВОЛЮЦИИ, Д.17;1024201856832;4222000658;+7 (384) 714-52-75;trk_osinniki@mail.ru;кемеровская область - кузбасс
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""УФАЛЕЙСКАЯ ТЕЛЕРАДИОКОМПАНИЯ""";"АУ ""УФАЛЕЙСКАЯ ТЕЛЕРАДИОКОМПАНИЯ"". АУ ""УТРК""";Учреждения;456800, ЧЕЛЯБИНСКАЯ ОБЛАСТЬ, Г. ВЕРХНИЙ УФАЛЕЙ, УЛ. ЛЕНИНА, Д.164;1027400543268;7402004537;+8 351 642-44-77;radio_ufaleya@mail.ru;челябинская область
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЧЕРНОГОРСК- ИНФОРМ""";"АУ ""ЧЕРНОГОРСК-ИНФОРМ""";Учреждения;655152, РЕСПУБЛИКА ХАКАСИЯ, Г. ЧЕРНОГОРСК, УЛ. ПУШКИНА, Д.7, -, -;1071903001092;1903017448;(39031) 27-111;chernogorsk@internet.ru;республика хакасия
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ГОРОДА НЕФТЕЮГАНСКА ""НЕФТЕЮГАНСКИЙ ИНФОРМАЦИОННЫЙ ЦЕНТР""";"АУ ""НИЦ""";Учреждения;628301, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г НЕФТЕЮГАНСК, МКР. 2, СТР. 33А;1028601262139;8604023358;(3463) 23-86-88;gl.ingener@ugansk.tv;ханты-мансийский автономный округ - югра
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ КУРСКОЙ ОБЛАСТИ ""ТЕЛЕВИЗИОННАЯ И РАДИОВЕЩАТЕЛЬНАЯ КОМПАНИЯ ""СЕЙМ""";"АУКО ""ТРК ""СЕЙМ""";Учреждения;305000, КУРСКАЯ ОБЛАСТЬ, Г. КУРСК, УЛ. ГОРЬКОГО, Д.9;1024600941452;4632025409;+74712703529;urist@seyminfo.ru;курская область
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ МОРДОВИЯ ПО ОКАЗАНИЮ ГОСУДАРСТВЕННЫХ УСЛУГ В СФЕРЕ СРЕДСТВ МАССОВОЙ ИНФОРМАЦИИ ""ИЗВЕСТИЯ МОРДОВИИ""";"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ИЗВЕСТИЯ МОРДОВИИ""";Государственные автономные учреждения субъектов Российской Федерации;430005, РЕСПУБЛИКА МОРДОВИЯ, Г САРАНСК, УЛ СОВЕТСКАЯ, Д. 22;1021300980634;1326136880;+7 834 224-57-62;im@e-mordovia.ru;республика мордовия
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ ХАКАСИЯ ""ИНФОРМАЦИОННЫЙ ТЕЛЕВИЗИОННЫЙ ЦЕНТР ""ХАКАСИЯ""";"АУ РХ ""ТВ ЦЕНТР ""ХАКАСИЯ""";Учреждения;655017, РЕСПУБЛИКА ХАКАСИЯ, Г. АБАКАН, УЛ. ПУШКИНА, Д. 111, ЛИТЕР А, ПОМЕЩ. 34;1101901000442;1901093429;(3902) 358-702;tv-rts@r-19.ru;республика хакасия
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ СМИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ АСКИЗСКИЙ РАЙОН ""АСХЫС ЧАЙААНЫ""";"АУ СМИ ""АСХЫС ЧАЙААНЫ""";Учреждения;655700, РЕСПУБЛИКА ХАКАСИЯ, АСКИЗСКИЙ Р-Н, С. АСКИЗ, УЛ. СУВОРОВА, Д.2;1031900757272;1905008103;(390-45)91064;AskizTV@yandex.ru;республика хакасия
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ХАНТЫ-МАНСИЙСКОГО АВТОНОМНОГО ОКРУГА - ЮГРЫ ""ОКРУЖНАЯ ТЕЛЕРАДИОКОМПАНИЯ ""ЮГРА""";"АУ ""ОТРК ""ЮГРА""";Учреждения;628011, ХАНТЫ-МАНСИЙСКИЙ АВТОНОМНЫЙ ОКРУГ - ЮГРА, Г. Ханты-Мансийск, УЛ. Гагарина, Д.4, -, -;1028600509706;8601013369;(3467) 36-00-77;otrk@ugra-tv.ru;ханты-мансийский автономный округ - югра
"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЧУВАШСКОЙ РЕСПУБЛИКИ ""ЦЕНТР ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ"" МИНИСТЕРСТВА ЦИФРОВОГО РАЗВИТИЯ, ИНФОРМАЦИОННОЙ ПОЛИТИКИ И МАССОВЫХ КОММУНИКАЦИЙ ЧУВАШСКОЙ РЕСПУБЛИКИ";"АУ ""ЦИТ"" МИНЦИФРЫ ЧУВАШИИ";Государственные автономные учреждения субъектов Российской Федерации;428022, ЧУВАШСКАЯ РЕСПУБЛИКА - ЧУВАШИЯ, Г. ЧЕБОКСАРЫ, УЛ. КАЛИНИНА, Д. 112;1162130063501;2130176633;8-8352-565-490;cit@cap.ru;чувашская республика - чувашия
АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГУЛЬКЕВИЧСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН КРАСНОДАРСКОГО КРАЯ;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГУЛЬКЕВИЧСКИЙ РАЙОН;Учреждения;352190, КРАСНОДАРСКИЙ КРАЙ, ГУЛЬКЕВИЧСКИЙ Р-Н, Г ГУЛЬКЕВИЧИ, УЛ СОВЕТСКАЯ, Д. 14;1022303582707;2329013399;+7 861 603-24-32;otdel_it@mogulk.ru;краснодарский край
"АКЦИОНЕРНАЯ КОМПАНИЯ ""АЛРОСА"" (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО)";"АК ""АЛРОСА"" (ПАО)";Акционерные общества;678175, РЕСПУБЛИКА САХА (ЯКУТИЯ), МИРНИНСКИЙ У., Г. МИРНЫЙ, УЛ. ЛЕНИНА, Д.6;1021400967092;1433000147;8(41136)3-00-30;mirinfo@alrosa.ru;республика саха (якутия)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОРПОРАЦИЯ ""КАПИТАЛ-ТЕХНОЛОГИЯ""";"АО ""ККТ""";Непубличные акционерные общества;630005, НОВОСИБИРСКАЯ ОБЛАСТЬ, Г. НОВОСИБИРСК, УЛ. СЕМЬИ ШАМШИНЫХ, Д. 97А, ЭТАЖ 3, ОФИС 10;1025402471434;5406039720;8-383-383-30-42;mail@kkt.ru;новосибирская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""2А ТЕЛЕКОМ""";"АО ""2А ТЕЛЕКОМ""";Непубличные акционерные общества;143406, МОСКОВСКАЯ ОБЛАСТЬ, городской округ КРАСНОГОРСК, Г КРАСНОГОРСК, УЛ ЦИОЛКОВСКОГО, Д. 17, ПОМЕЩ. III, КОМ. 8;1235000112236;5024236371;+7 (905) 700-70-80;a.bogdanov@2atelecom.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВАНТЕЛ""";"АО ""АВАНТЕЛ""";Акционерные общества;127018, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ БУТЫРСКИЙ, УЛ СКЛАДОЧНАЯ, Д. 1, СТР. 15;1025403651195;5408185212;+7 495 909-09-99;moscow@avantel.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВИАКОМПАНИЯ ""АВРОРА""";"АО ""АВИАКОМПАНИЯ ""АВРОРА""";Акционерные общества;693023, САХАЛИНСКАЯ ОБЛАСТЬ, Г ЮЖНО-САХАЛИНСК, УЛ АЛЕКСЕЯ МАКСИМОВИЧА ГОРЬКОГО, Д. 50А;1056500677749;6501161401;8 (4242) 73-90-00;DemidovEV@flyaurora.ru;сахалинская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВИЭЛ""";"АО ""АВИЭЛ""";Акционерные общества;140103, МОСКОВСКАЯ ОБЛАСТЬ, Г РАМЕНСКОЕ, Ш ДОНИНСКОЕ, Д. 12А, КОМ. 34;1027739195648;7704180377;+7 800 222-46-77;info@aviel.ru;московская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОВАЗ""";"АО ""АВТОВАЗ""";Акционерные общества;445024, САМАРСКАЯ ОБЛАСТЬ, Г. ТОЛЬЯТТИ, Ш. ЮЖНОЕ, Д.36;1026301983113;6320002223;(8482) 64-17-04, 73-92-95;Sergey.Zhuk@vaz.ru;самарская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АВТОДАТА""";"АО ""АВТОДАТА""";Акционерные общества;171252, ТВЕРСКАЯ ОБЛАСТЬ, муниципальный округ КОНАКОВСКИЙ, Г КОНАКОВО, УЛ АЛЕКСАНДРОВКА, Д. 7, К. 1, ПОМЕЩ. 402;1217700230901;7751197924;+7 (926) 991-96-20;autodata.nao@gmail.com;тверская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДМИНОРА""";"АО ""АДМИНОРА""";Акционерные общества;117449, Г.МОСКВА, УЛ КАРЬЕР, Д. 2, СТР. 10, ПОМЕЩ. 6;5077746723742;7734563306;+7 (495) 221-49-05;info@adminora.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АДЫГЕЙСКАЯ ТЕЛЕФОННАЯ КОМПАНИЯ""";"АО ""АТК""";Акционерные общества;385000, РЕСПУБЛИКА АДЫГЕЯ (АДЫГЕЯ), Г. МАЙКОП, УЛ. ПРОЛЕТАРСКАЯ, Д.2-В;1030100529700;0104006670;+7 (877) 259-20-00;sale@adygtelecom.com;республика адыгея (адыгея)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙ-ТЕКО""";"АО ""АЙ-ТЕКО""";Акционерные общества;119119, Г.МОСКВА, ПР-КТ ЛЕНИНСКИЙ, Д. 42, К. 6, ПОМЕЩ. IV, КОМНАТА 9;1027700031061;7704160892;+7 (495)777-10-95;sk@i-teco.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙКО""";"АО ""АЙКО""";Непубличные акционерные общества;117587, Г.МОСКВА, Ш. ВАРШАВСКОЕ, Д. 118, К. 1, ЭТ 17 ПОМ XLIX КОМ 2;1081690065577;1655166016;8 (495) 215-22-00;iiko@iiko.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙТИ ПАРК""";"АО ""АЙТИ ПАРК""";Акционерные общества;127030, Г.МОСКВА, внутригородская территория города федерального значения МУНИЦИПАЛЬНЫЙ ОКРУГ ТВЕРСКОЙ, УЛ НОВОСЛОБОДСКАЯ, Д. 20, ПОМЕЩ. 7/1/2;1237700431055;9725127201;+7 (495) 822-02-02;info@ao-itpark.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКОД""";"АО ""АКОД""";Непубличные акционерные общества;117587, Г.МОСКВА, Ш ВАРШАВСКОЕ, Д. 125, СТР. 1, СЕКЦ 5 Э 1 ПОМ II КОМ 1Б КОМ 1В;1097746814494;7726643163;+8 (495) 545-44-04;acodinfo@acod.su;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКСИОМА 24""";"АО ""АКСИОМА 24""";Акционерные общества;660028, КРАСНОЯРСКИЙ КРАЙ, городской округ ГОРОД КРАСНОЯРСК, Г КРАСНОЯРСК, УЛ НОВОСИБИРСКАЯ, Д. 33, ПОМЕЩ. 1;1222400025660;2460122273;+79832918718;aoaxioma24@mail.ru;красноярский край
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ КОМПАНИЯ ""ЖЕЛЕЗНЫЕ ДОРОГИ ЯКУТИИ""";"АО ""АК ""ЖДЯ""";Публичные акционерные общества;678900, РЕСПУБЛИКА САХА (ЯКУТИЯ), АЛДАНСКИЙ У., Г. АЛДАН, УЛ. МАЯКОВСКОГО, Д.14;1021401044500;1435073060;+7 (41145) 65000 доб. 7242;Ivanov_AM@rw-y.ru;республика саха (якутия)
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬТАГЕН""";"АО ""АЛЬТАГЕН""";Акционерные общества;121165, Г.МОСКВА, УЛ. СТУДЕНЧЕСКАЯ, Д. 26, ЭТ/ПОМ/КОМ ПОДВАЛ/X/16;1087746446160;7729598896;+7 926 139-83-46;alexey_boldin@ecotelecom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМТЕЛ-СВЯЗЬ""";"АО ""АМТЕЛ-СВЯЗЬ""";Акционерные общества;125315, Г.МОСКВА, ПР-КТ ЛЕНИНГРАДСКИЙ, Д. 80, К. 37;1047796422794;7743530434;(495) 983-04-04;info@amtelcom.ru;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АНГАРСКАЯ НЕФТЕХИМИЧЕСКАЯ КОМПАНИЯ""";"АО ""АНХК""";Акционерные общества;665800, ИРКУТСКАЯ ОБЛАСТЬ, Г. АНГАРСК, НП. ПЕРВЫЙ ПРОМЫШЛЕННЫЙ МАССИВ, КВ-Л 63 (Первый промышленный массив тер.), Д. 2;1023800520600;3801009466;8(3955)578-404;delo@anhk.rosneft.ru;иркутская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АНГАРСКИЙ ЭЛЕКТРОЛИЗНЫЙ ХИМИЧЕСКИЙ КОМБИНАТ""";"АО ""АЭХК""";Публичные акционерные общества;665814, ИРКУТСКАЯ ОБЛАСТЬ, Г. АНГАРСК, КВ-Л 2 (ЮЖНЫЙ МАССИВ ТЕР.), СТР. 100;1083801006860;3801098402;+7 (3955) 540040;aecc@rosatom.ru;иркутская область
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРЕЛИОН ТЕЛЕКОМ""";"АО ""АРЕЛИОН ТЕЛЕКОМ""";Акционерные общества;119049, Г.МОСКВА, ПЕР. ЯКИМАНСКИЙ, Д. 6, СТР 1;1027809197327;7808007715;(495) 783-02-60;reception-moscow@arelion.com;г.москва
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИК РЕГИОН СВЯЗЬ""";"АО ""АРС""";Публичные акционерные общества;689000, ЧУКОТСКИЙ АВТОНОМНЫЙ ОКРУГ, Г. АНАДЫРЬ, УЛ. ЛЕНИНА, Д.20, ----------, ----------;1028700587332;8709009336;(42722) 6-01-00;o.korneva@arsnet.ru;чукотский автономный округ
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРКТИКТЕЛЕКОМ""";"АО ""АТК""";Акционерные общества;677027, РЕСПУБЛИКА САХА (ЯКУТИЯ), городской округ ГОРОД ЯКУТСК, Г ЯКУТСК, УЛ ОКТЯБРЬСКАЯ, Д. 10/1;1211400005123;1435360410;+7 411 232-20-19;info@a-telecom.ru;республика саха (якутия)
